Date,Open,Stock_Price,Adj Close,Next_Stock_Price_1,Next_Stock_Price_2,source,author,title,description,url,urlToImage,publishedAt,content,date,vader_sentiment,sentiment_category
14/08/2024,207.3899994,201.3800049,201.3800049,214.1399994,216.1199951,Wired,Bob Sorokanich,The 2025 Ford Maverick Shows That Hybrid Pickup Trucks Are Going Mainstream,"Just as Tesla ditches its $60,000 Cybertruck, Ford finally allows buyers to pair its efficient hybrid powertrain with all-wheel drive and a towing package. Hallelujah.",https://www.wired.com/story/the-2025-ford-maverick-shows-that-hybrid-pickup-trucks-are-going-mainstream/,"https://media.wired.com/photos/66b238d5206f91e861323d94/191:100/w_1280,c_limit/FORDMaverick.jpg",14/08/2024 10:30,"Ford created a surprise smash hit when it introduced the Maverick in 2021. This compact pickup, built on architecture shared with the Escape and Bronco Sport crossover SUVs, offered truck capability … [+3478 chars]",14/08/2024,0.7351,positive
15/08/2024,205.0200043,214.1399994,214.1399994,216.1199951,222.7200012,The Verge,Alex Heath,Ex-Google CEO says successful AI startups can steal IP and hire lawyers to ‘clean up the mess’,"“But if nobody uses your product, it doesn’t matter that you stole all the content,” former Google CEO Eric Schmidt said during a talk at Stanford that has been pulled offline.",https://www.theverge.com/2024/8/14/24220658/google-eric-schmidt-stanford-talk-ai-startups-openai,https://cdn.vox-cdn.com/thumbor/QQQxH6DQRCFJVlX17xypIjc4QEc=/0x0:7496x5379/1200x628/filters:focal(3909x2019:3910x2020)/cdn.vox-cdn.com/uploads/chorus_asset/file/25572964/1241460753.jpg,15/08/2024 0:00,"Ex-Google CEO says successful AI startups can steal IP and hire lawyers to clean up the mess
Ex-Google CEO says successful AI startups can steal IP and hire lawyers to clean up the mess
 / But if n… [+2876 chars]",15/08/2024,0.2023,positive
15/08/2024,205.0200043,214.1399994,214.1399994,216.1199951,222.7200012,Business Insider,Kwan Wei Kevin Tan,'Shark Tank' star Kevin O'Leary says he thinks Elon Musk is a 'modern day Bruce Wayne',"""If he got involved with government, it would be a good thing for everybody in America,"" O'Leary said of Musk.",https://www.businessinsider.com/kevin-oleary-elon-musk-is-a-modern-day-bruce-wayne-2024-8,https://i.insider.com/66bd8870b4912df3ae1bdc9b?width=1200&format=jpeg,15/08/2024 8:26,"""I think that guy is a modern day Bruce Wayne. If he got involved with government, it would be a good thing for everybody in America,"" Kevin O'Leary said of Elon Musk.Christopher Willard/ABC via Gett… [+3287 chars]",15/08/2024,0.4404,positive
16/08/2024,211.1499939,216.1199951,216.1199951,222.7200012,221.1000061,Xataka.com,Javier Marquez,Tesla ha diseñado una nevera portátil inspirada en el Cybertruck. Y la está vendiendo a un precio no pasa desapercibido,"La compañías fundadas o lideradas por Elon Musk suelen ofrecer algunos productos que no están directamente relacionados con su actividad principal. Hace un tiempo vimos como The Boring Company se lanzaba a vender un lanzallamas. Ahora, Tesla acaba de agregar …",https://www.xataka.com/otros/tesla-ha-disenado-nevera-portatil-inspirada-cybertruck-esta-vendiendo-a-precio-no-pasa-desapercibido,https://i.blogs.es/096111/cybertruck-cooler/840_560.jpeg,16/08/2024 20:31,La compañías fundadas o lideradas por Elon Musk suelen ofrecer algunos productos que no están directamente relacionados con su actividad principal. Hace un tiempo vimos como The Boring Company se lan… [+2022 chars],16/08/2024,-0.5423,negative
16/08/2024,211.1499939,216.1199951,216.1199951,222.7200012,221.1000061,Hipertextual,Gabriel Erard,Tesla cambia el Model 3 base para hacerlo más barato en México,"Tesla ha modificado el Model 3 base para venderlo a un precio más bajo en México. Los cambios ya son visibles en el configurador de la web oficial de la empresa, donde este modelo ahora se ofrece por 749.000 pesos. Es decir, 50.000 pesos más barato que su pre…",http://hipertextual.com/2024/08/tesla-model-3-base-cambios-mas-barato-mexico,https://imgs.hipertextual.com/wp-content/uploads/2023/09/Tesla-Model-3-Highland-scaled.jpg,16/08/2024 16:17,"Tesla ha modificado el Model 3 base para venderlo a un precio más bajo en México. Los cambios ya son visibles en el configurador de la web oficial de la empresa, donde este modelo ahora se ofrece por… [+2372 chars]",16/08/2024,0.34,positive
16/08/2024,211.1499939,216.1199951,216.1199951,222.7200012,221.1000061,ABC News,Leah Sarnoff,What a Kamala Harris presidency could mean for electric vehicles,Donald Trump's conversation with Tesla CEO Elon Musk heightened the issue of transition to electric vehicles in the 2024 election discourse.,https://abcnews.go.com/Politics/kamala-harris-presidency-electric-vehicles/story?id=112781610,https://i.abcnewsfe.com/a/2eb224b9-7df9-4beb-affd-699eb9fcfeb2/rivian-1-rt-bb-240814_1723654827574_hpMain_16x9.jpg?w=1600,16/08/2024 9:20,"On the road to the 2024 presidential election, Vice President Kamala Harris and former President Donald Trump's views on electric vehicles (EVs) have offered two different visions of America's automo… [+7075 chars]",16/08/2024,0.2263,positive
19/08/2024,217.0700073,222.7200012,222.7200012,221.1000061,223.2700043,Xataka.com,Alberto de la Torre,Decenas de coches de Tesla han aparecido abandonados en mitad de un prado. Y ahora estamos intentando entender por qué,"El 2024 no comenzó bien para Tesla. Como contamos en Xataka, el primer trimestre de este año ha sido el primero en los últimos cuatro ejercicios en los que las ventas de sus coches eléctricos cayeron.
<!-- BREAK 1 -->
Con el paso de los meses, los datos no ha…",https://www.xataka.com/movilidad/decenas-coches-tesla-han-aparecido-abandonados-mitad-prado-ahora-estamos-intentando-entender-que,https://i.blogs.es/2b3770/martin-katler-dijr_m1mv_a-unsplash/840_560.jpeg,19/08/2024 19:03,"El 2024 no comenzó bien para Tesla. Como contamos en Xataka, el primer trimestre de este año ha sido el primero en los últimos cuatro ejercicios en los que las ventas de sus coches eléctricos cayeron… [+4313 chars]",19/08/2024,0.0516,positive
19/08/2024,217.0700073,222.7200012,222.7200012,221.1000061,223.2700043,Autoblog,Insider,Wanted: Humans to wear motion-capture suits all day to train Tesla robots,"Filed under:
 Motorsports,Commerce
 Continue reading Wanted: Humans to wear motion-capture suits all day to train Tesla robots
Wanted: Humans to wear motion-capture suits all day to train Tesla robots originally appeared on Autoblog on Mon, 19 Aug 2024 04:59:…",https://www.autoblog.com/2024/08/19/wanted-humans-to-wear-motion-capture-suits-all-day-to-train-tesla-robots/,https://edgecast-img.yahoo.net/mysterio/api/6F9574433785AA08AF04058D0A97E0297D676279BBD7AB61CAC2BE838C3360DA/autoblog/resizefill_w1200_h675;quality_85;format_webp;cc_31536000;/https://o.aolcdn.com/images/dims3/GLOB/legacy_thumbnail/1062x597/format/jpg/quality/100/https://media.zenfs.com/en/business_insider_articles_888/1ad8ad0fd3f05c2655e893d2b2f066b2,19/08/2024 8:59,"Tesla is hiring Data Collection Operators for up to $48 per hour to help train its humanoid robot.Future Publishing/ Getty
Willing to spend hours on end in a motion-capture suit? Tesla is paying up … [+4655 chars]",19/08/2024,0.4019,positive
19/08/2024,217.0700073,222.7200012,222.7200012,221.1000061,223.2700043,Yahoo Entertainment,Storyful,Chechen Leader Thanks Elon Musk For Cybertruck as Musk Denies Involvement,"Chechen leader Ramzan Kadyrov thanked Elon Musk for a Tesla Cybertruck, posting footage of himself driving the car around his Grozny residence on August 17...",https://uk.news.yahoo.com/chechen-leader-thanks-elon-musk-094057621.html,https://s.yimg.com/ny/api/res/1.2/_dOcZZifuGhi.AMMgtdBMw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02OTk-/https://media.zenfs.com/en/video.storyful.com/de435c3f9f1df41dee6fd7613ec9880e,19/08/2024 9:40,"Chechen leader Ramzan Kadyrov thanked Elon Musk for a Tesla Cybertruck, posting footage of himself driving the car around his Grozny residence on August 17.
Kadyrov wrote: I express my sincere grati… [+704 chars]",19/08/2024,0.6808,positive
19/08/2024,217.0700073,222.7200012,222.7200012,221.1000061,223.2700043,Business Insider,Theron Mohamed,Meet the 15 members of the $100 billion club — who are jointly worth more than Google,"Elon Musk, Jeff Bezos, and Bill Gates are among the very few members of the 12-digit club. Three Waltons worth over $92 billion could soon join them.",https://www.businessinsider.com/wealth-billionaires-musk-bezos-zuckerberg-net-worth-jensen-huang-waltoans-2024-8,https://i.insider.com/6495e72065b9ce0018a49dd7?width=1200&format=jpeg,19/08/2024 12:38,"Elon Musk (left), Mark Zuckerberg (middle), and Jeff Bezos (right) are all members of the $100 billion club.Scott Olson/Getty/Mark J. Terrill/AP/Drew Angerer/Business Insider Composite
<ul><li>The e… [+4616 chars]",19/08/2024,0.0,nuetral
